Time,Front POA1 (W/m2),Front POA2 (W/m2),Rear 1 (W/m2),Rear 2 (W/m2),Rear 3 (W/m2),G,W,B,S,Temperature C,Specific Humidity g/kg,Precipitation mm/hour,Relative Humidity %,tcc,tclw,sin_h,cos_h,sin_doy,cos_doy
2025-05-08 16:15:00,8.192553704168864,38.278125130733315,48.41055387527129,103.37951314511535,20.015686083341144,0.0,0.0,1.0,0.0,23.97,10.09,5.61,54.54,47.349163,0.11245355,-0.8660254037844384,-0.5000000000000004,0.8064799463209448,-0.5912614448635781
2025-05-08 16:30:00,0.0,5.082345066452833,37.57425000880496,110.02644505031297,9.074972875370818,0.0,0.0,1.0,0.0,23.97,10.09,5.61,54.54,43.522522,0.11347854,-0.8660254037844384,-0.5000000000000004,0.8064799463209448,-0.5912614448635781
2025-05-08 16:45:00,2.938452242754769,15.943748967890029,43.543603632486835,81.2891538519468,6.015739028506806,0.0,0.0,1.0,0.0,23.97,10.09,5.61,54.54,39.69588,0.11450353,-0.8660254037844384,-0.5000000000000004,0.8064799463209448,-0.5912614448635781
2025-05-08 17:00:00,0.0,0.0,35.21202750132981,86.43774990770261,0.0,0.0,0.0,1.0,0.0,22.69,10.92,13.16,63.71,35.86924,0.115528524,-0.9659258262890684,-0.2588190451025206,0.8064799463209448,-0.5912614448635781
2025-05-08 17:15:00,0.0,0.0,0.0,90.51661823581621,16.85201517511914,0.0,0.0,1.0,0.0,22.69,10.92,13.16,63.71,37.88871,0.13041554,-0.9659258262890684,-0.2588190451025206,0.8064799463209448,-0.5912614448635781
2025-05-08 17:30:00,3.6337481652203483,21.929411500797627,23.39897241599248,24.94429658511308,4.400061755791292,0.0,0.0,1.0,0.0,22.69,10.92,13.16,63.71,39.90818,0.14530256,-0.9659258262890684,-0.2588190451025206,0.8064799463209448,-0.5912614448635781
2025-05-08 17:45:00,0.0,24.077144602320047,10.867671547384552,0.0,8.283972482380843,0.0,0.0,1.0,0.0,22.69,10.92,13.16,63.71,41.927654,0.16018958,-0.9659258262890684,-0.2588190451025206,0.8064799463209448,-0.5912614448635781
2025-05-08 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.8,11.83,21.3,77.46,43.947124,0.1750766,-1.0,-1.8369701987210292e-16,0.8064799463209448,-0.5912614448635781
2025-05-08 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.8,11.83,21.3,77.46,45.648582,0.18768163,-1.0,-1.8369701987210292e-16,0.8064799463209448,-0.5912614448635781
2025-05-08 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.8,11.83,21.3,77.46,47.350044,0.20028666,-1.0,-1.8369701987210292e-16,0.8064799463209448,-0.5912614448635781
2025-05-08 18:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.8,11.83,21.3,77.46,49.051502,0.21289168,-1.0,-1.8369701987210292e-16,0.8064799463209448,-0.5912614448635781
2025-05-08 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.29,11.92,23.81,85.79,50.75296,0.22549671,-0.9659258262890684,0.2588190451025203,0.8064799463209448,-0.5912614448635781
2025-05-08 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.29,11.92,23.81,85.79,51.018795,0.2210194,-0.9659258262890684,0.2588190451025203,0.8064799463209448,-0.5912614448635781
2025-05-08 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.29,11.92,23.81,85.79,51.28463,0.2165421,-0.9659258262890684,0.2588190451025203,0.8064799463209448,-0.5912614448635781
2025-05-08 19:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.29,11.92,23.81,85.79,51.55046,0.21206479,-0.9659258262890684,0.2588190451025203,0.8064799463209448,-0.5912614448635781
2025-05-08 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.81,11.7,29.58,86.86,51.816296,0.20758748,-0.8660254037844386,0.5000000000000001,0.8064799463209448,-0.5912614448635781
